train_loss,epoch,step,val_accuracy,val_loss,test_accuracy,test_loss
0.7632367014884949,0,49,,,,
0.7047973871231079,0,99,,,,
,0,99,0.5769230723381042,0.6472727060317993,,
0.5693673491477966,1,149,,,,
0.4014251232147217,1,199,,,,
,1,199,0.7788461446762085,0.3976527452468872,,
0.26181238889694214,2,249,,,,
0.09184063971042633,2,299,,,,
,2,299,1.0,0.09465320408344269,,
0.035037025809288025,3,349,,,,
0.016428939998149872,3,399,,,,
,3,399,1.0,0.02756274864077568,,
0.027089538052678108,4,449,,,,
0.007705342955887318,4,499,,,,
,4,499,1.0,0.012416243553161621,,
0.007288954686373472,5,549,,,,
0.005006641149520874,5,599,,,,
,5,599,1.0,0.007370417006313801,,
0.030895456671714783,6,649,,,,
0.002219622954726219,6,699,,,,
,6,699,1.0,0.005035911686718464,,
0.002445173915475607,7,749,,,,
0.003748016431927681,7,799,,,,
,7,799,1.0,0.00451324786990881,,
,8,800,,,0.9903846383094788,0.01097305491566658
